pig_id,start_1,end_1,start_2,end_2,start_3,end_3,start_4,end_4,start_5,end_5,start_6,end_6,start_7,end_7,start_8,end_8
CO-001 ,05/22/2012 12:42,05/22/2012 09:00,05/22/2012 10:30,,05/23/2012 10:05,,05/24/2012 12:30,,05/25/2012 11:45,05/25/2012 13:00,,,,,,
CO-002 ,05/22/2012 13:31,,05/23/2012 10:30,,05/24/2012 09:30,,05/25/2012 10:30,05/25/2012 13:00,,,,,,,,
CO-003 ,03/14/2010 14:00,,,,,,,,,,,,,,,
CO-004 ,08/16/2010 13:58,08/16/2010 23:00,08/17/2010 09:10,08/17/2010 23:00,08/18/2010 09:00,08/18/2010 23:00,08/19/2010 09:00,08/19/2010 14:00,,,,,,,,
CO-005 ,10/20/2010 11:10,10/20/2010 22:45,10/20/2010 23:15,,10/21/2010 22:50,,10/22/2010 10:45,10/22/2010 22:43,10/22/2010 22:57,,,,,,,
CO-006 ,11/01/2010 12:45,11/01/2010 23:30,11/02/2010 07:20,11/02/2010 18:15,11/02/2010 18:45,11/02/2010 00:30,11/03/2010 06:00,11/03/2010 22:50,11/04/2010 06:20,11/04/2010 13:15,,,,,,
CO-007 ,11/15/2010 11:32,,11/16/2010 15:45,,11/17/2010 12:15,,,,,,,,,,,
CO-008 ,12/12/2010 11:20,12/12/2010 12:20,12/12/2010 12:50,,12/13/2010 12:15,,12/14/2010 15:00,,12/15/2010 10:00,12/15/2010 12:00,,,,,,
CO-009 ,12/27/2010 11:34,,12/29/2010 09:00,,12/30/2010 00:10,12/30/2010 12:00,,,,,,,,,,
CO-010 ,01/05/2011 12:59,01/05/2011 14:30,01/05/2011 16:00,,01/07/2011 10:10,01/07/2011 23:30,01/08/2011 06:30,01/08/2011 07:00,01/08/2011 10:10,01/08/2011 13:00,,,,,,
CO-011 ,01/09/2011 12:00,01/09/2011 00:00,01/10/2011 09:00,01/10/2011 00:30,01/11/2011 12:00,01/11/2011 00:30,01/12/2011 09:00,01/12/2011 11:15,,,,,,,,
CO-012 ,01/25/2011 11:34,,01/26/2011 10:35,,01/27/2011 10:30,,01/28/2011 09:00,01/28/2011 12:30,,,,,,,,
CO-013 ,06/03/2012 11:20,06/03/2012 22:00,06/04/2012 05:30,06/04/2012 09:45,06/04/2012 11:15,06/04/2012 22:30,06/05/2012 07:15,06/05/2012 23:45,06/06/2012 06:30,06/06/2012 09:45,06/06/2012 11:15,06/06/2012 04:45,,,,
CO-014 ,02/15/2011 13:13,02/15/2011 19:35,02/15/2011 20:00,,02/16/2011 20:30,,02/18/2011 09:30,02/18/2011 13:30,,,,,,,,
CO-015 ,03/09/2011 12:12,03/09/2011 23:10,03/09/2011 23:30,,03/10/2011 21:00,,03/11/2011 21:00,,03/12/2011 16:00,03/13/2011 08:00,,,,,,
CO-016 ,03/22/2011 15:40,03/22/2011 01:00,03/23/2011 10:30,03/23/2011 01:00,03/24/2011 09:45,03/24/2011 00:45,03/25/2011 09:30,03/25/2011 15:30,,,,,,,,
CO-017 ,05/15/2011 15:45,05/15/2011 22:00,05/16/2011 10:10,05/16/2011 16:00,05/16/2011 17:30,,05/17/2011 09:00,05/17/2011 14:15,05/17/2011 15:30,05/17/2011 22:35,05/18/2011 10:30,05/18/2011 16:00,,,,
CO-019 ,07/05/2011 12:45,,07/06/2011 17:30,,07/07/2011 11:30,,,,,,,,,,,
CO-020 ,07/05/2011 12:50,,07/06/2011 09:00,07/06/2011 22:00,07/07/2011 07:00,07/07/2011 10:30,07/07/2011 11:15,07/07/2011 22:15,07/08/2011 06:30,07/08/2011 08:30,07/08/2011 09:00,07/08/2011 13:00,,,,
CO-021 ,07/07/2011 12:50,07/07/2011 17:50,07/07/2011 19:20,07/07/2011 22:05,07/08/2011 08:15,07/08/2011 12:35,07/08/2011 17:10,07/08/2011 21:50,07/09/2011 08:25,07/09/2011 13:40,07/09/2011 16:50,07/09/2011 22:15,07/10/2011 07:50,07/10/2011 13:00,,
CO-022 ,08/10/2011 11:10,08/10/2011 21:30,08/11/2011 06:30,08/11/2011 17:15,08/11/2011 18:00,08/11/2011 21:30,08/12/2011 07:00,08/12/2011 18:00,08/12/2011 18:30,08/12/2011 21:30,08/13/2011 06:45,08/13/2011 11:20,,,,
CO-023 ,08/24/2011 14:25,08/24/2011 00:30,08/25/2011 06:30,08/25/2011 00:30,08/26/2011 07:30,08/26/2011 01:30,08/27/2011 07:30,08/27/2011 16:30,,,,,,,,
CO-024 ,01/18/2012 13:40,,,,,,,,,,,,,,,
CO-026 ,07/05/2012 15:50,07/05/2012 17:55,07/05/2012 18:00,07/05/2012 22:55,07/06/2012 06:45,07/06/2012 08:00,07/06/2012 08:30,07/06/2012 23:30,07/07/2012 07:15,07/07/2012 10:05,07/07/2012 10:50,07/07/2012 23:55,07/08/2012 08:15,07/08/2012 14:30,,
CO-027 ,04/22/2012 11:05,04/22/2012 22:00,04/23/2012 06:00,04/23/2012 22:30,04/24/2012 06:30,04/24/2012 22:35,04/25/2012 05:45,04/25/2012 22:00,,,,,,,,
CO-028 ,06/04/2012 12:25,06/04/2012 23:00,06/05/2012 12:00,06/05/2012 22:30,06/06/2012 08:00,06/06/2012 22:00,,,,,,,,,,
CO-029 ,08/14/2011 13:00,,,,,,,,,,,,,,,
CO-030 ,04/30/2012 14:30,,05/01/2012 10:00,,05/02/2012 09:50,,,,,,,,,,,
CO-031 ,03/15/2012 15:33,03/15/2012 23:15,03/16/2012 08:50,03/16/2012 23:15,03/17/2012 09:55,03/17/2012 23:15,03/18/2012 09:36,03/18/2012 15:33,,,,,,,,
CO-032 ,05/21/2012 14:30,05/21/2012 21:10,05/22/2012 07:10,05/22/2012 13:00,05/22/2012 16:30,05/22/2012 21:40,05/23/2012 07:05,05/23/2012 21:10,05/24/2012 07:10,05/24/2012 12:00,,,,,,
CO-035 ,06/07/2012 10:50,06/07/2012 14:00,06/07/2012 17:00,06/07/2012 23:00,06/08/2012 08:15,06/08/2012 14:50,06/08/2012 16:40,06/08/2012 02:30,06/09/2012 10:40,06/09/2012 14:00,06/09/2012 17:15,06/09/2012 22:45,06/10/2012 08:20,06/10/2012 14:30,,
CO-036 ,06/08/2012 10:30,06/08/2012 13:00,06/08/2012 18:00,06/08/2012 01:00,06/09/2012 10:00,06/09/2012 14:00,06/09/2012 15:00,06/09/2012 22:00,06/10/2012 10:00,06/10/2012 14:00,,,,,,
CO-037 ,06/11/2012 12:10,06/11/2012 00:00,06/12/2012 16:00,06/12/2012 00:00,06/13/2012 08:30,06/13/2012 23:00,06/14/2012 17:15,06/14/2012 00:00,,,,,,,,
CO-038 ,,,,,,,,,,,,,,,,
CO-039 ,06/17/2012 13:29,06/17/2012 15:15,06/17/2012 16:45,06/17/2012 22:00,06/18/2012 08:45,06/18/2012 10:00,06/18/2012 12:30,06/18/2012 22:30,06/19/2012 06:30,06/19/2012 17:00,06/20/2012 09:30,06/20/2012 12:45,,,,
CO-040 ,06/18/2012 11:50,,06/19/2012 12:15,06/19/2012 22:30,06/20/2012 09:30,06/20/2012 14:15,06/20/2012 17:15,06/20/2012 21:22,06/21/2012 07:15,06/21/2012 11:50,,,,,,
CO-041 ,07/03/2012 13:35,07/03/2012 01:30,07/04/2012 11:30,07/04/2012 01:30,07/05/2012 09:30,07/05/2012 01:15,07/06/2012 09:45,07/06/2012 13:00,,,,,,,,
CO-042 ,07/04/2012 11:54,07/04/2012 23:00,07/05/2012 07:30,07/05/2012 23:30,07/06/2012 09:15,07/06/2012 22:30,,,,,,,,,,
